topic,context
Biology,"Symbiosis (from Greek ÏƒÏÎ½ ""together"" and Î²Î¯Ï‰ÏƒÎ¹Ï‚ ""living"") is close and often long-term interaction between two different biological species. In 1877 Albert Bernhard Frank used the word symbiosis (which previously had been used to depict people living together in community) to describe the mutualistic relationship in lichens. In 1879, the German mycologist Heinrich Anton de Bary defined it as ""the living together of unlike organisms."""
Biology,"Interactions between alcohol and certain antibiotics may occur and may cause side-effects and decreased effectiveness of antibiotic therapy. While moderate alcohol consumption is unlikely to interfere with many common antibiotics, there are specific types of antibiotics with which alcohol consumption may cause serious side-effects. Therefore, potential risks of side-effects and effectiveness depend on the type of antibiotic administered. Despite the lack of a categorical counterindication, the belief that alcohol and antibiotics should never be mixed is widespread."
Biology,"Interspecific crop diversity is, in part, responsible for offering variety in what we eat. Intraspecific diversity, the variety of alleles within a single species, also offers us choice in our diets. If a crop fails in a monoculture, we rely on agricultural diversity to replant the land with something new. If a wheat crop is destroyed by a pest we may plant a hardier variety of wheat the next year, relying on intraspecific diversity. We may forgo wheat production in that area and plant a different species altogether, relying on interspecific diversity. Even an agricultural society which primarily grows monocultures, relies on biodiversity at some point."
Biology,"The brain is an organ that serves as the center of the nervous system in all vertebrate and most invertebrate animals. Only a few invertebrates such as sponges, jellyfish, adult sea squirts and starfish do not have a brain; diffuse or localised nerve nets are present instead. The brain is located in the head, usually close to the primary sensory organs for such senses as vision, hearing, balance, taste, and smell. The brain is the most complex organ in a vertebrate's body. In a typical human, the cerebral cortex (the largest part) is estimated to contain 15â“33 billion neurons, each connected by synapses to several thousand other neurons. These neurons communicate with one another by means of long protoplasmic fibers called axons, which carry trains of signal pulses called action potentials to distant parts of the brain or body targeting specific recipient cells."
Biology,"Resistance to infection (immunity) may be acquired following a disease, by asymptomatic carriage of the pathogen, by harboring an organism with a similar structure (crossreacting), or by vaccination. Knowledge of the protective antigens and specific acquired host immune factors is more complete for primary pathogens than for opportunistic pathogens. There is also the phenomenon of herd immunity which offers a measure of protection to those otherwise vulnerable people when a large enough proportion of the population has acquired immunity from certain infections."
Biology,"Regardless of the type of metabolic process they employ, the majority of bacteria are able to take in raw materials only in the form of relatively small molecules, which enter the cell by diffusion or through molecular channels in cell membranes. The Planctomycetes are the exception (as they are in possessing membranes around their nuclear material). It has recently been shown that Gemmata obscuriglobus is able to take in large molecules via a process that in some ways resembles endocytosis, the process used by eukaryotic cells to engulf external items."
Biology,"In modern molecular biology and genetics, the genome is the genetic material of an organism. It consists of DNA (or RNA in RNA viruses). The genome includes both the genes and the non-coding sequences of the DNA/RNA."
Biology,"The humoral (antibody) response is defined as the interaction between antibodies and antigens. Antibodies are specific proteins released from a certain class of immune cells known as B lymphocytes, while antigens are defined as anything that elicits the generation of antibodies (""anti""body ""gen""erators). Immunology rests on an understanding of the properties of these two biological entities and the cellular response to both."
Biology,"Antibiotics revolutionized medicine in the 20th century, and have together with vaccination led to the near eradication of diseases such as tuberculosis in the developed world. Their effectiveness and easy access led to overuse, especially in livestock raising, prompting bacteria to develop resistance. This has led to widespread problems with antimicrobial and antibiotic resistance, so much as to prompt the World Health Organization to classify antimicrobial resistance as a ""serious threat [that] is no longer a prediction for the future, it is happening right now in every region of the world and has the potential to affect anyone, of any age, in any country""."
Physics,"A solar balloon is a black balloon that is filled with ordinary air. As sunlight shines on the balloon, the air inside is heated and expands causing an upward buoyancy force, much like an artificially heated hot air balloon. Some solar balloons are large enough for human flight, but usage is generally limited to the toy market as the surface-area to payload-weight ratio is relatively high."
Physics,"Examples of energy transformation include generating electric energy from heat energy via a steam turbine, or lifting an object against gravity using electrical energy driving a crane motor. Lifting against gravity performs mechanical work on the object and stores gravitational potential energy in the object. If the object falls to the ground, gravity does mechanical work on the object which transforms the potential energy in the gravitational field to the kinetic energy released as heat on impact with the ground. Our Sun transforms nuclear potential energy to other forms of energy; its total mass does not decrease due to that in itself (since it still contains the same total energy even if in different forms), but its mass does decrease when the energy escapes out to its surroundings, largely as radiant energy."
Physics,"In recent years light emitting diodes (LEDs) are becoming increasingly efficient leading to an extraordinary increase in the use of solid state lighting. In many situations, controlling the light emission of LEDs may be done most effectively by using the principles of nonimaging optics."
Physics,"A very small amount of water vapor inside a light bulb can significantly affect lamp darkening. Water vapor dissociates into hydrogen and oxygen at the hot filament. The oxygen attacks the tungsten metal, and the resulting tungsten oxide particles travel to cooler parts of the lamp. Hydrogen from water vapor reduces the oxide, reforming water vapor and continuing this water cycle. The equivalent of a drop of water distributed over 500,000 lamps will significantly increase darkening. Small amounts of substances such as zirconium are placed within the lamp as a getter to react with any oxygen that may bake out of the lamp components during operation."
Physics,"For maximum life, capacitors usually need to be able to handle the maximum amount of reversal that a system will experience. An AC circuit will experience 100% voltage reversal, while under-damped DC circuits will experience less than 100%. Reversal creates excess electric fields in the dielectric, causes excess heating of both the dielectric and the conductors, and can dramatically shorten the life expectancy of the capacitor. Reversal ratings will often affect the design considerations for the capacitor, from the choice of dielectric materials and voltage ratings to the types of internal connections used."
Physics,"The development of quadraphonic records was announced in 1971. These recorded four separate sound signals. This was achieved on the two stereo channels by electronic matrixing, where the additional channels were combined into the main signal. When the records were played, phase-detection circuits in the amplifiers were able to decode the signals into four separate channels. There were two main systems of matrixed quadraphonic records produced, confusingly named SQ (by CBS) and QS (by Sansui). They proved commercially unsuccessful, but were an important precursor to later surround-sound systems, as seen in SACD and home cinema today."
Physics,"LEDs have also been used as a medium-quality voltage reference in electronic circuits. The forward voltage drop (e.g. about 1.7 V for a normal red LED) can be used instead of a Zener diode in low-voltage regulators. Red LEDs have the flattest I/V curve above the knee. Nitride-based LEDs have a fairly steep I/V curve and are useless for this purpose. Although LED forward voltage is far more current-dependent than a Zener diode, Zener diodes with breakdown voltages below 3 V are not widely available."
Physics,"In weak basic solutions containing Zn2+ ions, the hydroxide Zn(OH)2 forms as a white precipitate. In stronger alkaline solutions, this hydroxide is dissolved to form zincates ([Zn(OH)4]2âˆ’). The nitrate Zn(NO3)2, chlorate Zn(ClO3)2, sulfate ZnSO4, phosphate Zn3(PO4)2, molybdate ZnMoO4, cyanide Zn(CN)2, arsenite Zn(AsO2)2, arsenate Zn(AsO4)2Â·8H2O and the chromate ZnCrO4 (one of the few colored zinc compounds) are a few examples of other common inorganic compounds of zinc. One of the simplest examples of an organic compound of zinc is the acetate (Zn(O2CCH3)2)."
Physics,"The Planck constant, or Planck's constant, is a fundamental physical constant of foundational importance in quantum mechanics. The constant gives the relationship between the energy of a photon and its frequency, and by the mass-energy equivalence, the relationship between mass and frequency. Specifically, a photon's energy is equal to its frequency multiplied by the Planck constant."
Physics,"In the absence of atmospheric oxygen (O2), in deep geological conditions prevailing far away from Earth atmosphere, hydrogen (H2) is produced during the process of serpentinization by the anaerobic oxidation by the water protons (H+) of the ferrous (Fe2+) silicate present in the crystal lattice of the fayalite (Fe2SiO4, the olivine iron-endmember). The corresponding reaction leading to the formation of magnetite (Fe3O4), quartz (SiO2) and hydrogen (H2) is the following:"
Physics,"There are two types of transistors, which have slight differences in how they are used in a circuit. A bipolar transistor has terminals labeled base, collector, and emitter. A small current at the base terminal (that is, flowing between the base and the emitter) can control or switch a much larger current between the collector and emitter terminals. For a field-effect transistor, the terminals are labeled gate, source, and drain, and a voltage at the gate can control a current between source and drain."
History,"In 1912, the Republic of China was established and Sun Yat-sen was inaugurated in Nanjing as the first Provisional President. But power in Beijing already had passed to Yuan Shikai, who had effective control of the Beiyang Army, the most powerful military force in China at the time. To prevent civil war and possible foreign intervention from undermining the infant republic, leaders agreed to Army's demand that China be united under a Beijing government. On March 10, in Beijing, Shikai was sworn in as the second Provisional President of the Republic of China."
History,"Throughout most of his career, Athanasius had many detractors. Classical scholar Timothy Barnes relates contemporary allegations against Athanasius: from defiling an altar, to selling Church grain that had been meant to feed the poor for his own personal gain, and even violence and murder to suppress dissent. Athanasius used ""Arian"" to describe both followers of Arius, and as a derogatory polemical term for Christians who disagreed with his formulation of the Trinity. Athanasius called many of his opponents ""Arian"", except for Miletus."
History,"In the words of Labour Member of Parliament George Hardie, the abdication crisis of 1936 did ""more for republicanism than fifty years of propaganda"". George VI wrote to his brother Edward that in the aftermath of the abdication he had reluctantly assumed ""a rocking throne"", and tried ""to make it steady again"". He became king at a point when public faith in the monarchy was at a low ebb. During his reign his people endured the hardships of war, and imperial power was eroded. However, as a dutiful family man and by showing personal courage, he succeeded in restoring the popularity of the monarchy."
History,"The Crimean War marked the ascendancy of France to the position of pre-eminent power on the Continent,:411 the continued decline of the Ottoman Empire, and the beginning of a decline for Tsarist Russia. As Fuller notes, ""Russia had been beaten on the Crimean peninsula, and the military feared that it would inevitably be beaten again unless steps were taken to surmount its military weakness."" The Crimean War marks the demise of the Concert of Europe, the balance of power that had dominated Europe since the Congress of Vienna in 1815, and which had included France, Russia, Austria and the United Kingdom."
History,"The Republic of Letters was the sum of a number of Enlightenment ideals: an egalitarian realm governed by knowledge that could act across political boundaries and rival state power. It was a forum that supported ""free public examination of questions regarding religion or legislation"". Immanuel Kant considered written communication essential to his conception of the public sphere; once everyone was a part of the ""reading public"", then society could be said to be enlightened. The people who participated in the Republic of Letters, such as Diderot and Voltaire, are frequently known today as important Enlightenment figures. Indeed, the men who wrote Diderot's EncyclopÃ©die arguably formed a microcosm of the larger ""republic""."
History,"Maintaining the household was the main duty of samurai women. This was especially crucial during early feudal Japan, when warrior husbands were often traveling abroad or engaged in clan battles. The wife, or okugatasama (meaning: one who remains in the home), was left to manage all household affairs, care for the children, and perhaps even defend the home forcibly. For this reason, many women of the samurai class were trained in wielding a polearm called a naginata or a special knife called the kaiken in an art called tantojutsu (lit. the skill of the knife), which they could use to protect their household, family, and honor if the need arose."
History,"On 27 June 1950, two days after the KPA invaded and three months before the Chinese entered the war, President Truman dispatched the United States Seventh Fleet to the Taiwan Strait, to prevent hostilities between the Nationalist Republic of China (Taiwan) and the People's Republic of China (PRC). On 4 August 1950, with the PRC invasion of Taiwan aborted, Mao Zedong reported to the Politburo that he would intervene in Korea when the People's Liberation Army's (PLA) Taiwan invasion force was reorganized into the PLA North East Frontier Force. China justified its entry into the war as a response to ""American aggression in the guise of the UN""."
History,"The Kabul Shahi dynasties ruled the Kabul Valley and Gandhara (modern-day Pakistan and Afghanistan) from the decline of the Kushan Empire in the 3rd century to the early 9th century. The Shahis are generally split up into two eras: the Buddhist Shahis and the Hindu Shahis, with the change-over thought to have occurred sometime around 870."
History,"When he became First Consul and later Emperor, Napoleon eschewed his general's uniform and habitually wore the simple green colonel uniform (non-Hussar) of a colonel of the Chasseur."
History,"The Atlantic and northern shores were harassed by the Vikings, who also raided the British Isles and settled there as well as in Iceland. In 911, the Viking chieftain Rollo (d. c. 931) received permission from the Frankish King Charles the Simple to settle in what became Normandy."
Philosophy,"According to philosophical materialism, mind and consciousness are by-products or epiphenomena of material processes (such as the biochemistry of the human brain and nervous system), without which they cannot exist. This concept directly contrasts with idealism, where mind and consciousness are first-order realities to which matter is dependent while material interactions are secondary."
Philosophy,"Philosophical empiricists hold no knowledge to be properly inferred or deduced unless it is derived from one's sense-based experience. This view is commonly contrasted with rationalism, which states that knowledge may be derived from reason independently of the senses. For example, John Locke held that some knowledge (e.g. knowledge of God's existence) could be arrived at through intuition and reasoning alone. Similarly Robert Boyle, a prominent advocate of the experimental method, held that we have innate ideas. The main continental rationalists (Descartes, Spinoza, and Leibniz) were also advocates of the empirical ""scientific method""."
Philosophy,"In philosophy, idealism is the group of philosophies which assert that reality, or reality as we can know it, is fundamentally mental, mentally constructed, or otherwise immaterial. Epistemologically, idealism manifests as a skepticism about the possibility of knowing any mind-independent thing. In a sociological sense, idealism emphasizes how human ideas especially beliefs and values shape society. As an ontological doctrine, idealism goes further, asserting that all entities are composed of mind or spirit. Idealism thus rejects physicalist and dualist theories that fail to ascribe priority to the mind."
Philosophy,"In this paper McTaggart proposes two ""temporal series"". The first series, which means to account for our intuitions about temporal becoming, or the moving Now, is called the A-series. The A-series orders events according to their being in the past, present or future, simpliciter and in comparison to each other. The B-series eliminates all reference to the present, and the associated temporal modalities of past and future, and orders all events by the temporal relations earlier than and later than."
Philosophy,"Bragg asked Roy Wood Sellars to draft a document based on this information which resulted in the publication of the Humanist Manifesto in 1933. Potter's book and the Manifesto became the cornerstones of modern humanism, the latter declaring a new religion by saying, ""any religion that can hope to be a synthesising and dynamic force for today must be shaped for the needs of this age. To establish such a religion is a major necessity of the present."" It then presented 15 theses of humanism as foundational principles for this new religion."
Philosophy,"Property dualism asserts that an ontological distinction lies in the differences between properties of mind and matter, and that consciousness may be ontologically irreducible to neurobiology and physics. It asserts that when matter is organized in the appropriate way (i.e., in the way that living human bodies are organized), mental properties emerge."
Philosophy,"Reasoning, like habit or intuition, is one of the ways by which thinking moves from one idea to a related idea. For example, reasoning is the means by which rational individuals understand sensory information from their environments, or conceptualize abstract dichotomies such as cause and effect, truth and falsehood, or ideas regarding notions of good or evil."
Philosophy," Most generally, ""knowledge"" is a familiarity, awareness, or understanding of someone or something, which might include facts (propositional knowledge), skills (procedural knowledge), or objects (acquaintance knowledge)."
Philosophy,"the dialectical method, is a discourse between two or more people holding different points of view about a subject but wishing to establish the truth through reasoned argumentation. Dialectic resembles debate, but the concept excludes subjective elements such as emotional appeal and rhetoric (in the modern pejorative sense)."
Philosophy,"Ethics, also known as moral philosophy, studies what constitutes good and bad conduct, right and wrong values, and good and evil. Its primary investigations include exploring how to live a good life and identifying standards of morality. It also includes investigating whether there is a best way to live or a universal moral standard, and if so, how we come to learn about it."
Entertainment,"While the original Xbox sold poorly in Japan, selling just 2 million units while it was on the market (between 2002 and 2005),[citation needed] the Xbox 360 sold even more poorly, selling only 1.5 million units from 2005 to 2011. Edge magazine reported in August 2011 that initially lackluster and subsequently falling sales in Japan, where Microsoft had been unable to make serious inroads into the dominance of domestic rivals Sony and Nintendo, had led to retailers scaling down and in some cases discontinuing sales of the Xbox 360 completely."
Entertainment,"In March 2012, Sony Music reportedly closed its Philippines office due to piracy, causing to move distribution of SME in the Philippines to Ivory Music."
Entertainment,"Japanese (Famicom) cartridges are shaped slightly differently. While the NES used a 72-pin interface, the Famicom system used a 60-pin design. Unlike NES games, official Famicom cartridges were produced in many colors of plastic. Adapters, similar in design to the popular accessory Game Genie, are available that allow Famicom games to be played on an NES. In Japan, several companies manufactured the cartridges for the Famicom. This allowed these companies to develop their own customized chips designed for specific purposes, such as chips that increased the quality of sound in their games."
Entertainment,"Some consider storyboards and wordless novels to be comics. Film studios, especially in animation, often use sequences of images as guides for film sequences. These storyboards are not intended as an end product and are rarely seen by the public. Wordless novels are books which use sequences of captionless images to deliver a narrative."
Entertainment,"PlayStation 3 console protects certain types of data and uses digital rights management to limit the data's use. Purchased games and content from the PlayStation Network store are governed by PlayStation's Network Digital Rights Management (NDRM). The NDRM allows users to access the data from up to 2 different PlayStation 3's that have been activated using a user's PlayStation Network ID. PlayStation 3 also limits the transfer of copy protected videos downloaded from its store to other machines and states that copy protected video ""may not restore correctly"" following certain actions after making a backup such as downloading a new copy protected movie."
Entertainment,"As of 2015, Universal is the only studio to have released three billion-dollar films in one year; this distinction was achieved in 2015 with Furious 7, Jurassic World and Minions."
Entertainment,"The middle up segment is mainly occupied by Metro Department Store originated from Singapore and Sogo from Japan. 2007 saw the re-opening of Jakarta's Seibu, poised to be the largest and second most upscale department store in Indonesia after Harvey Nichols, which the latter closed in 2010 and yet plans to return. Other international department stores include Debenhams and Marks & Spencer. Galeries Lafayette also joins the Indonesian market in 2013 inside Pacific Place Mall. This department store is targeting middle up market with price range from affordable to luxury, poised to be the largest upscale department store. Galeries Lafayette, Debenhams, Harvey Nichols, Marks & Spencer, Seibu and Sogo are all operated by PT. Mitra Adiperkasa."
Entertainment,"YouTube Red is YouTube's premium subscription service. It offers advertising-free streaming, access to exclusive content, background and offline video playback on mobile devices, and access to the Google Play Music ""All Access"" service. YouTube Red was originally announced on November 12, 2014, as ""Music Key"", a subscription music streaming service, and was intended to integrate with and replace the existing Google Play Music ""All Access"" service. On October 28, 2015, the service was re-launched as YouTube Red, offering ad-free streaming of all videos, as well as access to exclusive original content."
Entertainment,"The popularity of Twitch eclipsed that of its general-interest counterpart. In October 2013, the website had 45 million unique viewers, and by February 2014, it was considered the fourth-largest source of peak Internet traffic in the United States. At the same time, Justin.tv's parent company was re-branded as Twitch Interactive to represent the shift in focus – Justin.tv was shut down in August 2014."
Entertainment,"The story focuses on series protagonist Link, who tries to prevent Hyrule from being engulfed by a corrupted parallel dimension known as the Twilight Realm. To do so, he takes the form of both a Hylian and a wolf, and is assisted by a mysterious creature named Midna. The game takes place hundreds of years after Ocarina of Time and Majora's Mask, in an alternate timeline from The Wind Waker."
Politics,"During McMahon's period in office, Neville Bonner joined the Senate and became the first Indigenous Australian in the Australian Parliament. Bonner was chosen by the Liberal Party to fill a Senate vacancy in 1971 and celebrated his maiden parliamentary speech with a boomerang throwing display on the lawns of Parliament. Bonner went on to win election at the 1972 election and served as a Liberal Senator for 12 years. He worked on Indigenous and social welfare issues and proved an independent minded Senator, often crossing the floor on Parliamentary votes."
Politics,"In September 2003, retired four-star general Wesley Clark announced his intention to run in the presidential primary election for the Democratic Party nomination. His campaign focused on themes of leadership and patriotism; early campaign ads relied heavily on biography. His late start left him with relatively few detailed policy proposals. This weakness was apparent in his first few debates, although he soon presented a range of position papers, including a major tax-relief plan. Nevertheless, the Democrats did not flock to support his campaign."
Politics,"Federalism in the United States is the evolving relationship between state governments and the federal government of the United States. American government has evolved from a system of dual federalism to one of associative federalism. In ""Federalist No. 46,"" James Madison asserted that the states and national government ""are in fact but different agents and trustees of the people, constituted with different powers."" Alexander Hamilton, writing in ""Federalist No. 28,"" suggested that both levels of government would exercise authority to the citizens' benefit: ""If their [the peoples'] rights are invaded by either, they can make use of the other as the instrument of redress."" (1)"
Politics,"Ultimately, the distinction between public and private sector corruption sometimes appears rather artificial, and national anti-corruption initiatives may need to avoid legal and other loopholes in the coverage of the instruments."
Politics,"The term prime minister in the sense that we know it originated in the 18th century in the United Kingdom when members of parliament disparagingly used the title in reference to Sir Robert Walpole. Over time, the title became honorific and remains so in the 21st century."
Politics,"From the end of World War II until 1971, when John Rawls published A Theory of Justice, political philosophy declined in the Anglo-American academic world, as analytic philosophers expressed skepticism about the possibility that normative judgments had cognitive content, and political science turned toward statistical methods and behavioralism. In continental Europe, on the other hand, the postwar decades saw a huge blossoming of political philosophy, with Marxism dominating the field. This was the time of Jean-Paul Sartre and Louis Althusser, and the victories of Mao Zedong in China and Fidel Castro in Cuba, as well as the events of May 1968 led to increased interest in revolutionary ideology, especially by the New Left. A number of continental European Ã©migrÃ©s to Britain and the United Statesâ”including Karl Popper, Friedrich Hayek, Leo Strauss, Isaiah Berlin, Eric Voegelin and Judith Shklarâ”encouraged continued study in political philosophy in the Anglo-American world, but in the 1950s and 1960s they and their students remained at odds with the analytic establishment."
Politics,"Scholars continue to debate whether the U.S. Constitution adopted a particular interpretation of the ""rule of law,"" and if so, which one. For example, John Harrison asserts that the word ""law"" in the Constitution is simply defined as that which is legally binding, rather than being ""defined by formal or substantive criteria,"" and therefore judges do not have discretion to decide that laws fail to satisfy such unwritten and vague criteria. Law Professor Frederick Mark Gedicks disagrees, writing that Cicero, Augustine, Thomas Aquinas, and the framers of the U.S. Constitution believed that an unjust law was not really a law at all."
Politics,"Furthermore, in the case of far-right, far-left and regionalism parties in the national parliaments of much of the European Union, mainstream political parties may form an informal cordon sanitarian which applies a policy of non-cooperation towards those ""Outsider Parties"" present in the legislature which are viewed as 'anti-system' or otherwise unacceptable for government. Cordon Sanitarian, however, have been increasingly abandoned over the past two decades in multi-party democracies as the pressure to construct broad coalitions in order to win elections “ along with the increased willingness of outsider parties themselves to participate in government has led to many such parties entering electoral and government coalitions."
Politics,"A parliamentary system, or parliamentarian democracy, is a system of democratic governance of a state (or subordinate entity) where the executive derives its democratic legitimacy from its ability to command the support (""confidence"") of the legislature, typically a parliament, to which it is accountable."
Politics,"A republic (from Latin res publica 'public affair') is a ""state in which power rests with the people or their representatives; specifically a state without a monarchy"" and also a ""government, or system of government, of such a state."""
Music,"Classical music has often incorporated elements or material from popular music of the composer's time. Examples include occasional music such as Brahms' use of student drinking songs in his Academic Festival Overture, genres exemplified by Kurt Weill's The Threepenny Opera, and the influence of jazz on early- and mid-20th-century composers including Maurice Ravel, exemplified by the movement entitled ""Blues"" in his sonata for violin and piano. Certain postmodern, minimalist and postminimalist classical composers acknowledge a debt to popular music."
Music,"With his health further deteriorating, Chopin desired to have a family member with him. In June 1849 his sister Ludwika came to Paris with her husband and daughter, and in September, supported by a loan from Jane Stirling, he took an apartment at Place VendÃ´me 12. After 15 October, when his condition took a marked turn for the worse, only a handful of his closest friends remained with him, although Viardot remarked sardonically that ""all the grand Parisian ladies considered it de rigueur to faint in his room."""
Music,"Since the mid-2000s, the mainstreaming of bands like Wilco and Feist have pushed indie rock into the adult contemporary conversation. In the early 2010s, indie musicians like Imagine Dragons, Mumford & Sons, Of Monsters & Men, The Lumineers and Ed Sheeran also had indie songs that crossed over to the adult contemporary charts."
Music,"It is still possible for two sounds of indefinite pitch to clearly be higher or lower than one another. For instance, a snare drum sounds higher pitched than a bass drum though both have indefinite pitch, because its sound contains higher frequencies. In other words, it is possible and often easy to roughly discern the relative pitches of two sounds of indefinite pitch, but sounds of indefinite pitch do not neatly correspond to any specific pitch. A special type of pitch often occurs in free nature when sound reaches the ear of an observer directly from the source, and also after reflecting off a sound-reflecting surface. This phenomenon is called repetition pitch, because the addition of a true repetition of the original sound to itself is the basic prerequisite."
Music,"An orchestra is a large instrumental ensemble typical of classical music, which combines instruments from different families. There are typically four main sections of instruments:
- bowed string instruments, such as the violin, viola, cello, and double bass
- woodwinds, such as the flute, oboe, clarinet, saxophone, and bassoon
- Brass instruments, such as the horn, trumpet, trombone, cornet, and tuba
- percussion instruments, such as the timpani, snare drum, bass drum, cymbals, triangle, tambourine, and mallet percussion instruments"
Music,"Opera is a key part of the Western classical music tradition. Originally understood as an entirely sung piece, in contrast to a play with songs, opera has come to include numerous genres, including some that include spoken dialogue such as Singspiel and Opéra comique. In traditional number opera, singers employ two styles of singing: recitative, a speech-inflected style, and self-contained arias."
Music,"Lyrics are words that make up a song, usually consisting of verses and choruses. The writer of lyrics is a lyricist. The words to an extended musical composition such as an opera are, however, usually known as a ""libretto"" and their writer, as a ""librettist""."
Music,"A series of chords is called a chord progression.[1] One example of a widely used chord progression in Western traditional music and blues is the 12 bar blues progression. Although any chord may in principle be followed by any other chord, certain patterns of chords are more common in Western music, and some patterns have been accepted as establishing the key (tonic note) in common-practice harmony—notably the resolution of a dominant chord to a tonic chord."
Music,"In music, harmony is the process by which individual sounds are joined together or composed into whole units or compositions. Often, the term harmony refers to simultaneously occurring frequencies, pitches (tones, notes), or chords. However, harmony is generally understood to involve both vertical harmony (chords) and horizontal harmony (melody). "
Music,"Polyphony is a type of musical texture consisting of two or more simultaneous lines of independent melody, as opposed to a musical texture with just one voice, monophony, or a texture with one dominant melodic voice accompanied by chords, homophony."
Economy,"The primary objective of the European Central Bank, as laid down in Article 127(1) of the Treaty on the Functioning of the European Union, is to maintain price stability within the Eurozone. The Governing Council in October 1998 defined price stability as inflation of under 2%, âœa year-on-year increase in the Harmonised Index of Consumer Prices (HICP) for the euro area of below 2%â and added that price stability âwas to be maintained over the medium termâ. (Harmonised Index of Consumer Prices) Unlike for example the United States Federal Reserve Bank, the ECB has only one primary objective but this objective has never been defined in statutory law, and the HICP target can be termed ad-hoc."
