id,title,context,question,answers,metadata
fc6c4f8df4a6aa98ab22e97777f2bc4ad5ae80e4,Party_leaders_of_the_United_States_House_of_Representatives,"Internal party disunity compounded the difficulty of identifying lawmakers who might have informally functioned as a minority leader. For instance, ""seven of the fourteen speakership elections from 1834 through 1859 had at least twenty different candidates in the field. Thirty-six competed in 1839, ninety-seven in 1849, ninety-one in 1859, and 138 in 1855."" With so many candidates competing for the speakership, it is not at all clear that one of the defeated lawmakers then assumed the mantle of ""minority leader."" The Democratic minority from 1861 to 1875 was so completely disorganized that they did not ""nominate a candidate for Speaker in two of these seven Congresses and nominated no man more than once in the other five. The defeated candidates were not automatically looked to for leadership.""",When was the most crowded election held according to the text?,"{'text': array(['1855'], dtype=object), 'answer_start': array([353])}","{'split': 'train', 'model_in_the_loop': 'Combined'}"
54d3f1c7b0ea61c351f5563df1cfbdc79be3ba2b,Party_leaders_of_the_United_States_House_of_Representatives,"The style and role of any minority leader is influenced by a variety of elements, including personality and contextual factors, such as the size and cohesion of the minority party, whether his or her party controls the White House, the general political climate in the House, and the controversy that is sometimes associated with the legislative agenda. Despite the variability of these factors, there are a number of institutional obligations associated with this position. Many of these assignments or roles are spelled out in the House rule book. Others have devolved upon the position in other ways. To be sure, the minority leader is provided with extra staff resources—beyond those accorded him or her as a Representative—to assist in carrying out diverse leadership functions. Worth emphasis is that there are limits on the institutional role of the minority leader, because the majority party exercises disproportionate influence over the agenda, partisan ratios on committees, staff resources, administrative operations, and the day-to-day schedule and management of floor activities.",What is a gathering to celebrate an event?,"{'text': array(['party'], dtype=object), 'answer_start': array([174])}","{'split': 'train', 'model_in_the_loop': 'Combined'}"
9fb16f15a6ad46e6d7f8f24358d81d3489ec789e,Florida,"Reapportionment following the 2010 United States Census gave the state two more seats in the House of Representatives. The legislature's redistricting, announced in 2012, was quickly challenged in court, on the grounds that it had unfairly benefited Republican interests. In 2015, the Florida Supreme Court ruled on appeal that the congressional districts had to be redrawn because of the legislature's violation of the Fair District Amendments to the state constitution passed in 2010; it accepted a new map in early December 2015.",What gave the house of representatives 2 more seats?,"{'text': array(['Reapportionment'], dtype=object), 'answer_start': array([0])}","{'split': 'train', 'model_in_the_loop': 'Combined'}"
2aa9c26553ba331775923e85b14d42117a29a760,Florida,"As of 2010, those of African ancestry accounted for 16.0% of Florida's population, which includes African Americans. Out of the 16.0%, 4.0% (741,879) were West Indian or Afro-Caribbean American. During the early 1900s, black people made up nearly half of the state's population. In response to segregation, disfranchisement and agricultural depression, many African Americans migrated from Florida to northern cities in the Great Migration, in waves from 1910 to 1940, and again starting in the later 1940s. They moved for jobs, better education for their children and the chance to vote and participate in society. By 1960 the proportion of African Americans in the state had declined to 18%. Conversely large numbers of northern whites moved to the state.[citation needed] Today, large concentrations of black residents can be found in northern and central Florida. Aside from blacks descended from African slaves brought to the US south, there are also large numbers of blacks of West Indian, recent African, and Afro-Latino immigrant origins, especially in the Miami/South Florida area. In 2010, Florida had the highest percentage of West Indians in the United States, with 2.0% (378,926) from Haitian ancestry, and 1.3% (236,950) Jamaican. All other (non-Hispanic) Caribbean nations were well below 0.1% of Florida residents.",What year did the Great Migration temporarily end?,"{'text': array(['1940'], dtype=object), 'answer_start': array([463])}","{'split': 'train', 'model_in_the_loop': 'Combined'}"
829cefb7e8b22715d1cfd48c9780f30895596df1,Florida,"As a result of these initiatives northeastern Florida prospered economically in a way it never did under Spanish rule. Furthermore, the British governors were directed to call general assemblies as soon as possible in order to make laws for the Floridas and in the meantime they were, with the advice of councils, to establish courts. This would be the first introduction of much of the English-derived legal system which Florida still has today including trial by jury, habeas corpus and county-based government. Neither East Florida nor West Florida would send any representatives to Philadelphia to draft the Declaration of Independence. Florida would remain a Loyalist stronghold for the duration of the American Revolution.",Which rule managed the resources of Florida better?,"{'text': array(['British'], dtype=object), 'answer_start': array([136])}","{'split': 'train', 'model_in_the_loop': 'Combined'}"
f80fd95fa8c2fb750114c9160a35870db3453456,Florida,"NASCAR (headquartered in Daytona Beach) begins all three of its major auto racing series in Florida at Daytona International Speedway in February, featuring the Daytona 500, and ends all three Series in November at Homestead-Miami Speedway. Daytona also has the Coke Zero 400 NASCAR race weekend around Independence Day in July. The 24 Hours of Daytona is one of the world's most prestigious endurance auto races. The Grand Prix of St. Petersburg and Grand Prix of Miami have held IndyCar races as well.",which state is mentioned first?,"{'text': array(['Florida'], dtype=object), 'answer_start': array([92])}","{'split': 'train', 'model_in_the_loop': 'Combined'}"
1dbdcdb2983b37de34ed643a561f1aef87f4d36d,Catalan_language,"Catalan is split in two major dialectal blocks: Eastern Catalan, and Western Catalan. The main difference lies in the treatment of unstressed a and e; which have merged to /ə/ in Eastern dialects, but which remain distinct as /a/ and /e/ in Western dialects. There are a few other differences in pronunciation, verbal morphology, and vocabulary.",Where is this an issue?,"{'text': array(['Catalan'], dtype=object), 'answer_start': array([0])}","{'split': 'train', 'model_in_the_loop': 'Combined'}"
f58bc0daa8a51a85e2de0145013063ce269cd347,Catalan_language,"By the 9th century, Catalan had evolved from Vulgar Latin on both sides of the eastern end of the Pyrenees, as well as the territories of the Roman province of Hispania Tarraconensis to the south. From the 8th century onwards the Catalan counts extended their territory southwards and westwards at the expense of the Muslims, bringing their language with them. This process was given definitive impetus with the separation of the County of Barcelona from the Carolingian Empire in 988.",Muslims to the south and west were supplanted by who?,"{'text': array(['Catalan'], dtype=object), 'answer_start': array([230])}","{'split': 'train', 'model_in_the_loop': 'Combined'}"
ecbd66fe4fe3651801c4846a6a8d8ef108ce45b7,Catalan_language,"There is evidence that, at least from the a.d. 2nd century, the vocabulary and phonology of Roman Tarraconensis was different from the rest of Roman Hispania. Differentiation has arisen generally because Spanish, Asturian, and Galician-Portuguese share certain peripheral archaisms (Spanish hervir, Asturian/Portuguese ferver vs. Catalan bullir, Occitan bolir ""to boil"") and innovatory regionalisms (Sp novillo, Ast nuviellu vs. Cat torell, Oc taurèl ""bullock""), while Catalan has a shared history with the Western Romance innovative core, especially Occitan.",São Tomé and Príncipe has which official language?,"{'text': array(['Portuguese'], dtype=object), 'answer_start': array([236])}","{'split': 'train', 'model_in_the_loop': 'Combined'}"
d9c854fecc52d76099e0a47d64205d824184f649,Catalan_language,"According to Ethnologue, the lexical similarity between Catalan and other Romance languages is: 87% with Italian; 85% with Portuguese; 80% with Spanish; 76% with Ladin; 75% with Sardinian; and 73% with Romanian.",Which language ranks fourth among the Romance languages that compare to Catalan?,"{'text': array(['Ladin'], dtype=object), 'answer_start': array([162])}","{'split': 'train', 'model_in_the_loop': 'Combined'}"
df14414615ccad43ffebd42497163bf4226a7635,Catalan_language,"In Eastern Catalan (except Majorcan), unstressed vowels reduce to three: /a e ɛ/ > [ə]; /o ɔ u/ > [u]; /i/ remains distinct. There are a few instances of unreduced [e], [o] in some words. Alguerese has lowered [ə] to [a].",What letters in a word are difficult to hear when spoken due to being masked by louder syllables or letters?,"{'text': array(['unstressed'], dtype=object), 'answer_start': array([38])}","{'split': 'train', 'model_in_the_loop': 'Combined'}"
87aa3364b77731807ccf04121aee7b9e0b08d1cd,Catalan_language,"Since the Spanish transition to democracy (1975–1982), Catalan has been institutionalizated as an official language, language of education, and language of mass media; all of which have contributed to its increased prestige. In Catalonia, there is no parallel of a large, bilingual, European, non-state speech community. The teaching of Catalan is mandatory in all schools, but it is possible to use Spanish for studying in the public education system of Catalonia in two situations, if the teacher assigned to a class chooses to use Spanish, or during the learning process of one or some recently arrived students.  There is also some intergenerational shift towards Catalan.",What year came after 1981?,"{'text': array(['1982'], dtype=object), 'answer_start': array([48])}","{'split': 'train', 'model_in_the_loop': 'Combined'}"
209e90ed41349055d6b4d0f6eb96804313798fe7,Catalan_language,"Central Catalan is considered the standard pronunciation of the language. The descriptions below are mostly for this variety. For the differences in pronunciation of the different dialects, see the section pronunciation of dialects in this article.",What is it call when I do not want the differences in pronunciation,"{'text': array(['Central Catalan'], dtype=object), 'answer_start': array([0])}","{'split': 'train', 'model_in_the_loop': 'Combined'}"
df77ecbc628bb10b60d3146c0cf7a2a8eb2bd93d,Catalan_language,"Despite the position of the official organizations, an opinion poll carried out between 2001 and 2004 showed that the majority of the Valencian people consider Valencian different from Catalan. This position is promoted by people who do not use Valencian regularly. Furthermore, the data indicates that younger generations educated in Valencian are much less likely to hold these views. A minority of Valencian scholars active in fields other than linguistics defends the position of the Royal Academy of Valencian Culture (Acadèmia de Cultura Valenciana, RACV), which uses for Valencian a standard independent from Catalan.",The Royal Academy of Valencian Culture agrees with the?,"{'text': array(['opinion poll'], dtype=object), 'answer_start': array([55])}","{'split': 'train', 'model_in_the_loop': 'Combined'}"
7ed624b8dfc3fb622c53e91a4d798338a47362c7,Catalan_language,"The endonym is pronounced /kə.təˈɫa/ in the Eastern Catalan dialects, and /ka.taˈɫa/ in the Western dialects. In the Valencian Community, the term valencià (/va.len.siˈa/) is frequently used instead. The names ""Catalan"" and ""Valencian"" are two names for the same language. See also status of Valencian below.",What are variations of the same language referred to as?,"{'text': array(['dialects'], dtype=object), 'answer_start': array([60])}","{'split': 'train', 'model_in_the_loop': 'Combined'}"
a7c1af9ffe479e150c99696e669fb72f228ed28a,Catalan_language,"With the Treaty of the Pyrenees (1659), Spain ceded the northern part of Catalonia to France, and soon thereafter the local Catalan varieties came under the influence of French, which in 1700 became the sole official language of the region.",High-quality fruits come from the Loire Valley and central  __.,"{'text': array(['France'], dtype=object), 'answer_start': array([86])}","{'split': 'train', 'model_in_the_loop': 'Combined'}"
5a448f302b64333bb639498601f6836fbcca669b,Liberal_Party_of_Australia,"During McMahon's period in office, Neville Bonner joined the Senate and became the first Indigenous Australian in the Australian Parliament. Bonner was chosen by the Liberal Party to fill a Senate vacancy in 1971 and celebrated his maiden parliamentary speech with a boomerang throwing display on the lawns of Parliament. Bonner went on to win election at the 1972 election and served as a Liberal Senator for 12 years. He worked on Indigenous and social welfare issues and proved an independent minded Senator, often crossing the floor on Parliamentary votes.",What type of Senator was Bonner?,"{'text': array(['Liberal'], dtype=object), 'answer_start': array([390])}","{'split': 'train', 'model_in_the_loop': 'Combined'}"
a75a94cc32ae3d35e3c03807bb07a03e62feecc9,Liberal_Party_of_Australia,"Menzies ran strongly against Labor's plans to nationalise the Australian banking system and, following victory in the 1949 election, secured a double dissolution election for April 1951, after the Labor-controlled Senate refused to pass his banking legislation. The Liberal-Country Coalition was returned with control of the Senate. The Government was returned again in the 1954 election; the formation of the anti-Communist Democratic Labor Party (DLP) and the consequent split in the Australian Labor Party early in 1955 helped the Liberals to another victory in December 1955. John McEwen replaced Arthur Fadden as leader of the Country Party in March 1958 and the Menzies-McEwen Coalition was returned again at elections in November 1958 – their third victory against Labor's H. V. Evatt. The Coalition was narrowly returned against Labor's Arthur Calwell in the December 1961 election, in the midst of a credit squeeze. Menzies stood for office for the last time in the November 1963 election, again defeating Calwell, with the Coalition winning back its losses in the House of Representatives. Menzies went on to resign from parliament on 26 January 1966.",What is a Federal non-parliamentary political party in Australia that advocates social conservatism and favors distributism?,"{'text': array(['Democratic Labor Party'], dtype=object), 'answer_start': array([425])}","{'split': 'train', 'model_in_the_loop': 'Combined'}"
038e65267004a8cc4c2af0684d5e16b640fbbbd5,Liberal_Party_of_Australia,"Menzies continued the expanded immigration program established under Chifley, and took important steps towards dismantling the White Australia Policy. In the early 1950s, external affairs minister Percy Spender helped to establish the Colombo Plan for providing economic aid to underdeveloped nations in Australia's region. Under that scheme many future Asian leaders studied in Australia. In 1958 the government replaced the Immigration Act's arbitrarily applied European language dictation test with an entry permit system, that reflected economic and skills criteria. In 1962, Menzies' Commonwealth Electoral Act provided that all Indigenous Australians should have the right to enrol and vote at federal elections (prior to this, indigenous people in Queensland, Western Australia and some in the Northern Territory had been excluded from voting unless they were ex-servicemen). In 1949 the Liberals appointed Dame Enid Lyons as the first woman to serve in an Australian Cabinet. Menzies remained a staunch supporter of links to the monarchy and British Commonwealth but formalised an alliance with the United States and concluded the Agreement on Commerce between Australia and Japan which was signed in July 1957 and launched post-war trade with Japan, beginning a growth of Australian exports of coal, iron ore and mineral resources that would steadily climb until Japan became Australia's largest trading partner.",Which Australian leader finally gave full voting rights to Austrlia's indigenous peoples?,"{'text': array(['Menzies'], dtype=object), 'answer_start': array([984])}","{'split': 'train', 'model_in_the_loop': 'Combined'}"
57b24e118aab4a6a78f41ebe4284ba4111a745ce,Liberal_Party_of_Australia,"Menzies came to power the year the Communist Party of Australia had led a coal strike to improve pit miners' working conditions. That same year Joseph Stalin's Soviet Union exploded its first atomic bomb, and Mao Zedong led the Communist Party of China to power in China; a year later came the invasion of South Korea by Communist North Korea. Anti-communism was a key political issue of the 1950s and 1960s. Menzies was firmly anti-Communist; he committed troops to the Korean War and attempted to ban the Communist Party of Australia in an unsuccessful referendum during the course of that war. The Labor Party split over concerns about the influence of the Communist Party over the Trade Union movement, leading to the foundation of the breakaway Democratic Labor Party whose preferences supported the Liberal and Country parties.","Which of the following was a capitalist: Menzies, Zedong or Stalin?","{'text': array(['Menzies'], dtype=object), 'answer_start': array([409])}","{'split': 'train', 'model_in_the_loop': 'Combined'}"
b6fde703f6934f1e8895042ac145e7a0503a69d1,Dwight_D._Eisenhower,"From 1920, Eisenhower served under a succession of talented generals – Fox Conner, John J. Pershing, Douglas MacArthur and George Marshall. He first became executive officer to General Conner in the Panama Canal Zone, where, joined by Mamie, he served until 1924. Under Conner's tutelage, he studied military history and theory (including Carl von Clausewitz's On War), and later cited Conner's enormous influence on his military thinking, saying in 1962 that ""Fox Conner was the ablest man I ever knew."" Conner's comment on Eisenhower was, ""[He] is one of the most capable, efficient and loyal officers I have ever met."" On Conner's recommendation, in 1925–26 he attended the Command and General Staff College at Fort Leavenworth, Kansas, where he graduated first in a class of 245 officers. He then served as a battalion commander at Fort Benning, Georgia, until 1927.",what is the last military rank mentioned?,"{'text': array(['battalion commander'], dtype=object), 'answer_start': array([813])}","{'split': 'train', 'model_in_the_loop': 'Combined'}"
f923b7e36bea53726b77fd6e62ebc40d284327c3,Dwight_D._Eisenhower,"After the Japanese attack on Pearl Harbor, Eisenhower was assigned to the General Staff in Washington, where he served until June 1942 with responsibility for creating the major war plans to defeat Japan and Germany. He was appointed Deputy Chief in charge of Pacific Defenses under the Chief of War Plans Division (WPD), General Leonard T. Gerow, and then succeeded Gerow as Chief of the War Plans Division. Next, he was appointed Assistant Chief of Staff in charge of the new Operations Division (which replaced WPD) under Chief of Staff General George C. Marshall, who spotted talent and promoted accordingly.",Eisenhower's promotions were what?,"{'text': array(['Deputy Chief in charge of Pacific Defenses under the Chief of War Plans Division (WPD), General Leonard T. Gerow, and then succeeded Gerow as Chief of the War Plans Division. Next, he was appointed Assistant Chief of Staff in charge of the new Operations Division'],
      dtype=object), 'answer_start': array([234])}","{'split': 'train', 'model_in_the_loop': 'Combined'}"
fda40e0c2e32c3e55998e81c4e60a8ce7c1fc55e,Dwight_D._Eisenhower,"In 1955 American nuclear arms policy became one aimed primarily at arms control as opposed to disarmament. The failure of negotiations over arms until 1955 was due mainly to the refusal of the Russians to permit any sort of inspections. In talks located in London that year, they expressed a willingness to discuss inspections; the tables were then turned on Eisenhower, when he responded with an unwillingness on the part of the U.S. to permit inspections. In May of that year the Russians agreed to sign a treaty giving independence to Austria, and paved the way for a Geneva summit with the U.S., U.K. and France. At the Geneva Conference Eisenhower presented a proposal called ""Open Skies"" to facilitate disarmament, which included plans for Russia and the U.S. to provide mutual access to each other's skies for open surveillance of military infrastructure. Russian leader Nikita Khrushchev dismissed the proposal out of hand.",What used to be the main goal?,"{'text': array(['disarmament'], dtype=object), 'answer_start': array([94])}","{'split': 'train', 'model_in_the_loop': 'Combined'}"
9c82c7084b4bc36ae7782b9a04113d7fab7182fa,Dwight_D._Eisenhower,"His primary duty was planning for the next war, which proved most difficult in the midst of the Great Depression. He then was posted as chief military aide to General MacArthur, Army Chief of Staff. In 1932, he participated in the clearing of the Bonus March encampment in Washington, D.C. Although he was against the actions taken against the veterans and strongly advised MacArthur against taking a public role in it, he later wrote the Army's official incident report, endorsing MacArthur's conduct.",What was his first position?,"{'text': array(['planning for the next war'], dtype=object), 'answer_start': array([21])}","{'split': 'train', 'model_in_the_loop': 'Combined'}"
fc886601fdddba6d522ceb3e844e58bb5343a1c4,Dwight_D._Eisenhower,"In recognition of his senior position in the Allied command, on December 20, 1944, he was promoted to General of the Army, equivalent to the rank of Field Marshal in most European armies. In this and the previous high commands he held, Eisenhower showed his great talents for leadership and diplomacy. Although he had never seen action himself, he won the respect of front-line commanders. He interacted adeptly with allies such as Winston Churchill, Field Marshal Bernard Montgomery and General Charles de Gaulle. He had serious disagreements with Churchill and Montgomery over questions of strategy, but these rarely upset his relationships with them. He dealt with Soviet Marshal Zhukov, his Russian counterpart, and they became good friends.",How did Eisenhower win the respect of the front-line commanders?,"{'text': array(['talents for leadership and diplomacy'], dtype=object), 'answer_start': array([264])}","{'split': 'train', 'model_in_the_loop': 'Combined'}"
506a5bea6c51eaebc883f25f6e5b857d97f9a81a,Dwight_D._Eisenhower,"Eisenhower's main goals in office were to keep pressure on the Soviet Union and reduce federal deficits. In the first year of his presidency, he threatened the use of nuclear weapons in an effort to conclude the Korean War; his New Look policy of nuclear deterrence prioritized inexpensive nuclear weapons while reducing funding for conventional military forces. He ordered coups in Iran and Guatemala. Eisenhower refused to give major aid to help France in Vietnam. He gave strong financial support to the new nation of South Vietnam. Congress agreed to his request in 1955 for the Formosa Resolution, which obliged the U.S. to militarily support the pro-Western Republic of China in Taiwan and continue the isolation of the People's Republic of China.","If there are two China's mentioned, what is the first one?","{'text': array(['Republic of China in Taiwan'], dtype=object), 'answer_start': array([664])}","{'split': 'train', 'model_in_the_loop': 'Combined'}"
26a541e5e3d6728ad65777045b53eab63a0913e9,Dwight_D._Eisenhower,"In 1948, Eisenhower became President of Columbia University, an Ivy League university in New York City. The assignment was described as not being a good fit in either direction. During that year Eisenhower's memoir, Crusade in Europe, was published. Critics regarded it as one of the finest U.S. military memoirs, and it was a major financial success as well. Eisenhower's profit on the book was substantially aided by an unprecedented ruling by the U.S. Department of the Treasury that Eisenhower was not a professional writer, but rather, marketing the lifetime asset of his experiences, and thus he only had to pay capital gains tax on his $635,000 advance instead of the much higher personal tax rate. This ruling saved Eisenhower about $400,000.",What did Eisenhower make on the memoir?,"{'text': array(['profit'], dtype=object), 'answer_start': array([373])}","{'split': 'train', 'model_in_the_loop': 'Combined'}"
7c6d5c388905657a55c993ae64c8d8de94f88b07,Dwight_D._Eisenhower,"Within months of beginning his tenure as the president of the university, Eisenhower was requested to advise U.S. Secretary of Defense James Forrestal on the unification of the armed services. About six months after his appointment, he became the informal Chairman of the Joint Chiefs of Staff in Washington. Two months later he fell ill, and he spent over a month in recovery at the Augusta National Golf Club. He returned to his post in New York in mid-May, and in July 1949 took a two-month vacation out-of-state. Because the American Assembly had begun to take shape, he traveled around the country during mid-to-late 1950, building financial support from Columbia Associates, an alumni association.",What was Eisenhower doing before advising the Defense Secretary?,"{'text': array(['Augusta National Golf Club'], dtype=object), 'answer_start': array([384])}","{'split': 'train', 'model_in_the_loop': 'Combined'}"
2461b2ecf099241054aada7c8eae54de3e297eec,Dwight_D._Eisenhower,"On May 1, 1960, a U.S. one-man U-2 spy plane was reportedly shot down at high altitude over Soviet Union airspace. The flight was made to gain photo intelligence before the scheduled opening of an East–West summit conference, which had been scheduled in Paris, 15 days later. Captain Francis Gary Powers had bailed out of his aircraft and was captured after parachuting down onto Russian soil. Four days after Powers disappeared, the Eisenhower Administration had NASA issue a very detailed press release noting that an aircraft had ""gone missing"" north of Turkey. It speculated that the pilot might have fallen unconscious while the autopilot was still engaged, and falsely claimed that ""the pilot reported over the emergency frequency that he was experiencing oxygen difficulties.""",Where was the pilot of the one-man U-2 plane when the Soviets took his plane down?,"{'text': array(['Soviet Union airspace'], dtype=object), 'answer_start': array([92])}","{'split': 'train', 'model_in_the_loop': 'Combined'}"
